Category,Sunlight Level,Water Level,Watering Duration,Sunlight Duration,Nutrients,Ultrasonic Values
monitoring sunlight duration,57.895293212507106,27.755651131130186,21,197,"[9.295488747417735, 1.6460189404909875, 6.333096321786388, 9.54961593870281, 7.017393104795021]","[67, 77, 35, 81, 59]"
monitoring nutrients,17.729310820838073,95.88693164981716,215,66,"[2.2183673850092656, 4.470759049535978, 9.836833955091652, 0.3980507764807706, 8.302426185355381]","[58, 22, 52, 85, 16]"
general monitoring,5.725807214409495,5.269904870323816,208,45,"[7.862999319540096, 8.73314139883806, 8.006268731559272, 8.359103520551965, 3.710472568052743]","[28, 65, 85, 72, 80]"
general monitoring,58.926697374710535,40.00568882312707,281,193,"[5.21459236057877, 6.328616175553936, 7.327119548202724, 3.260376997919475, 9.502324229279349]","[57, 52, 87, 92, 68]"
general monitoring,17.0378056082799,85.47503324443704,300,30,"[6.434228222559629, 5.348684115841183, 0.4711030625526025, 1.869741471110149, 6.763332587911429]","[45, 18, 63, 89, 86]"
general monitoring,79.30105859728467,58.590091790615475,293,169,"[5.538938836170464, 4.607610315623466, 5.9602957534522165, 9.839287885429673, 5.932771686084769]","[90, 54, 58, 50, 56]"
general monitoring,78.2045041054109,5.090290013626497,211,213,"[6.856332368433625, 8.882646048426773, 6.399315567008727, 5.240871813654434, 4.992300630166385]","[24, 69, 72, 88, 34]"
monitoring sunlight,74.45199513273487,39.90334494392259,220,105,"[5.9018050120713585, 3.3068105478029475, 7.134213664133206, 5.286758703020031, 5.934571045352092]","[55, 86, 58, 57, 16]"
monitoring water level,65.20487569795314,51.720437367726525,73,117,"[8.823394963244557, 3.334262161272753, 6.013637669707725, 9.823667853616719, 7.724004168621987]","[29, 74, 46, 30, 31]"
monitoring watering duration,88.92533097247608,59.294592630843276,134,19,"[5.627600514666149, 2.0665399995313525, 0.6136338182437129, 3.890682125065598, 5.436972543018448]","[68, 65, 82, 89, 95]"
monitoring sunlight duration,10.044365000513212,52.184450202470636,173,48,"[3.8684808953859506, 6.7751687708618435, 7.970006915368618, 2.975011366805105, 3.3777644256241848]","[51, 70, 53, 83, 88]"
monitoring nutrients,88.91507640303983,89.32471961766139,201,39,"[3.187072035166266, 0.060384684462952976, 0.16847041956541298, 5.295867443834842, 0.5160239821784962]","[12, 12, 41, 28, 10]"
general monitoring,61.6723776300858,77.66510343323833,128,117,"[7.346402234772746, 9.591076650328953, 8.246033567663876, 7.6720954101944425, 6.979630244771239]","[49, 36, 56, 100, 95]"
general monitoring,9.047762565518369,40.75411859692603,265,51,"[5.554379747308424, 5.041428082555602, 5.430887173059148, 6.626297130206028, 3.0933836395042045]","[25, 22, 41, 75, 60]"
general monitoring,39.21812940228154,44.4644390965397,227,230,"[8.478996797962768, 5.723326370298437, 6.876563436229804, 4.740082896885964, 5.850778871866557]","[59, 63, 61, 44, 66]"
general monitoring,38.887476517212846,24.697672286007144,233,134,"[7.283266529374909, 7.089441615030135, 5.812337678010659, 4.433540958574033, 2.114811464869958]","[59, 72, 92, 56, 50]"
